1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
10,1
10,151
10,152
10,153
10,154
10,155
10,156
10,157
10,158
10,159
10,22
100,103
100,784
100,99
10003,1616
10003,30009
10003,44991
10003,79385
10003,79389
10003,79402
10003,79411
10003,79425
10003,79426
10003,79427
10003,79440
10003,79445
10003,79446
10003,79453
10003,79459
10003,79462
10006,10009
10006,2026
10006,57462
10006,57463
10006,57467
10006,57469
10006,57497
10006,57498
10006,57499
10006,57508
10006,57522
10006,57526
10006,57538
10006,57544
10006,57545
10006,57564
10006,57579
10007,1518
10007,35497
10007,56152
10007,89100
10007,89107
10007,89110
10007,89113
10007,89115
10007,89116
10007,89119
10007,89121
10007,89122
10007,89125
10007,89131
10007,89134
10007,89135
10007,89137
10007,89138
10007,89141
10007,89143
10008,16554
10008,2026
10008,2570
10008,35954
10008,47152
10008,63547
10008,94949
10008,94952
10008,94956
10008,94960
10008,94969
10008,94974
10008,94979
10008,94981
10008,94986
10009,10006
10009,10021
10009,2026
10009,32712
10009,62965
10009,62979
10009,62988
10009,63014
10009,63030
10009,63040
10009,63049
10009,63055
10009,63058
10009,9959
1001,13817
1001,13818
1001,13819
1001,13820
1001,13821
1001,13822
1001,13823
1001,13824
1001,13825
1001,13826
1001,13827
10012,2026
10012,43283
10012,43285
10012,43288
10012,43290
10012,43292
10012,43293
10012,43297
10012,43298
10012,43310
10012,43311
10012,43312
10012,43316
10012,43319
10012,43324
10012,43325
10012,43331
10015,1
10015,10016
10015,10018
10015,1581
10015,21575
10015,50951
10015,52189
10015,52193
10015,52203
10015,52204
10015,52207
10015,52210
10015,52213
10015,52217
10015,52282
10015,52287
10015,52294
10015,52295
10016,10015
10016,10105
10016,11440
10016,333
10016,36143
10016,50885
10016,50886
10016,50921
10016,50951
10016,50955
10016,51002
10016,51052
10016,51109
10016,51202
10016,51216
10016,51217
10016,51257
10017,10014
10017,10016
10017,10020
10017,10102
10017,10104
10017,10109
10017,1581
10017,19180
10017,66268
10017,66274
10017,66280
10017,66318
1002,1244
1002,13686
1002,13687
1002,13688
1002,13689
1002,13690
1002,13691
1002,13692
1002,13786
1002,13787
1002,13788
1002,13789
1002,13790
1002,13791
1002,13792
1002,745
10021,10009
10021,10022
10021,2026
10021,72140
10021,72151
10021,72196
10021,72197
10028,10027
10028,10031
10028,1682
10028,1685
10028,1689
10028,1690
10028,39267
10028,52144
10028,56042
10028,56049
10028,56053
10028,56055
10028,56056
10029,1
10029,10028
10029,10031
10029,1682
10029,1685
10029,1689
10029,1690
10029,56055
10029,85275
10031,10028
10031,10029
10031,1682
10031,1685
10031,1689
10031,1690
10031,52100
10031,52138
10031,52143
10031,52144
10031,52145
10032,34512
10032,34551
10032,66608
10032,89941
10032,89959
10032,90061
10032,90064
10032,90073
10032,90106
10032,90138
10032,90145
10032,90149
10032,90167
10032,90173
10032,9776
10032,9778
10032,9779
10033,32960
10033,52064
10033,52099
10033,52102
10033,52116
10033,52119
10033,52124
10033,52136
10033,52137
10036,60593
10036,71710
10036,71713
10036,71717
10036,71727
10036,71733
10036,71737
10036,71757
1004,112
1004,2659
1004,2660
1004,2661
1004,2662
1004,2663
1004,2664
1004,2665
1004,2666
1004,2667
1004,2668
1004,2669
1004,2670
1004,2671
1004,2672
1004,2673
10042,1
10042,10051
10042,26347
10042,27628
10042,41917
10042,455
10042,90611
10042,90613
10042,90615
10042,90616
10042,90620
10042,90623
10042,90625
10042,90632
10042,90635
10042,90657
10042,90666
10042,90673
10042,90674
10043,35435
10043,41917
10043,44521
10043,44527
10043,44529
